q1,q2,thresh,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
70,80,0.5,5,7,3,13,29,41,39,31,3,3,7,15,19,45,47,43,5,5,11,15,31,23,27,43,5,5,7,11,29,31,53,25,7,9,15,31,53,43,69,31,13,17,43,25,63,41,55,23,19,25,57,35,57,34,22,19,29,37,42,52,11,23,1,1
70,80,0.6,5,3,3,9,21,31,39,27,3,3,5,9,19,45,47,43,5,3,7,13,27,21,27,43,3,5,5,11,25,25,53,25,5,7,15,27,53,43,69,31,9,15,43,25,63,41,55,23,19,25,57,35,57,34,22,19,29,37,42,52,11,23,1,1
70,80,0.7,3,3,3,3,9,21,39,23,3,3,3,5,15,45,47,43,3,3,3,7,23,15,27,43,3,3,5,9,21,21,53,25,3,7,11,23,53,43,69,31,9,9,43,25,63,41,55,23,19,25,57,31,57,34,22,19,21,37,42,52,11,23,1,1
70,80,0.8,1,1,3,3,9,7,29,17,3,3,3,5,11,37,39,33,3,3,3,5,9,11,21,43,3,3,3,7,17,17,53,17,3,5,9,17,53,35,69,31,7,5,35,21,49,37,55,23,13,25,37,21,37,34,22,19,15,37,37,52,11,23,1,1
70,80,0.9,1,1,1,1,5,5,15,13,1,1,3,3,5,21,21,19,3,1,1,3,7,7,13,23,1,3,3,5,9,11,23,11,1,3,5,13,27,21,33,15,5,5,17,13,29,21,29,13,9,15,25,15,27,23,19,19,11,19,27,41,7,15,1,1
75,0,0.5,7,5,5,7,11,13,25,31,5,3,7,9,13,29,29,27,7,5,5,11,19,25,35,27,5,7,9,15,23,43,39,31,7,11,13,27,33,55,43,39,11,17,27,31,41,51,51,24,25,31,38,43,45,23,24,37,35,41,47,45,22,28,1,1
75,0,0.6,7,3,5,5,11,13,25,23,3,3,7,9,13,29,29,27,7,5,5,11,19,21,35,27,5,7,7,15,19,37,39,31,5,11,13,25,33,55,43,39,11,17,27,31,41,51,51,24,25,31,38,43,45,23,24,37,35,41,47,45,22,28,1,1
75,0,0.7,5,3,5,5,11,11,25,19,3,3,5,9,13,29,29,27,5,3,3,11,19,17,29,27,3,5,5,11,15,29,39,21,5,7,11,19,31,55,43,39,9,13,27,31,41,51,51,24,25,31,38,43,45,23,24,37,27,41,47,45,22,28,1,1
75,0,0.8,3,3,5,3,11,9,21,15,3,3,3,5,9,23,29,21,3,3,3,7,15,13,21,27,3,5,5,9,13,23,37,17,3,5,7,15,21,35,43,31,7,9,19,31,27,51,51,24,15,31,38,33,43,23,24,37,19,41,47,45,22,19,1,1
75,0,0.9,3,1,3,3,7,5,11,9,1,1,3,3,5,13,15,13,3,3,3,5,9,9,13,15,1,3,3,5,9,15,19,11,3,3,5,9,13,23,23,17,5,7,11,17,17,25,21,19,9,15,15,19,19,19,15,29,13,21,23,25,21,19,1,1
75,85,0.5,5,5,7,11,21,21,44,33,3,3,7,21,15,33,35,33,7,7,11,21,23,25,41,33,5,13,9,19,25,51,47,37,7,15,17,33,39,65,61,45,15,21,33,37,47,61,59,37,45,37,45,51,51,32,38,27,43,51,57,45,29,27,1,1
75,85,0.6,3,3,3,3,21,17,44,25,3,3,7,13,15,33,35,33,3,3,3,21,23,23,41,33,3,7,7,19,21,43,47,29,7,11,13,27,39,65,61,45,11,19,33,37,47,61,59,37,35,37,45,51,51,32,38,27,43,51,57,45,29,27,1,1
75,85,0.7,3,3,3,3,13,15,44,21,3,1,3,9,11,33,35,33,3,3,3,15,21,19,29,33,1,7,3,13,17,35,47,23,3,5,13,21,39,65,61,45,5,13,33,37,47,61,59,37,25,37,45,51,51,32,38,27,39,51,57,45,29,27,1,1
75,85,0.8,3,3,3,3,7,9,27,17,1,1,3,3,7,25,31,25,3,1,3,5,15,15,23,31,1,3,3,9,13,27,39,19,3,3,9,17,25,41,55,31,3,9,21,37,35,45,59,37,15,31,45,41,45,32,38,27,27,51,47,45,29,27,1,1
75,85,0.9,1,1,1,1,3,3,11,9,1,1,1,3,3,13,17,15,1,1,1,3,7,9,15,17,1,1,3,3,9,17,21,11,1,3,5,9,15,25,31,19,3,3,13,17,21,27,31,31,5,17,19,23,25,19,29,27,13,25,27,23,27,27,1,1
80,0,0.5,5,3,3,5,9,13,19,23,3,3,5,7,9,23,23,21,5,5,3,9,15,23,27,21,5,7,7,11,19,35,31,25,5,9,15,21,27,43,41,31,9,13,21,25,31,41,45,27,19,25,31,31,41,37,33,25,29,37,37,31,45,29,21,9
